system,tier,ref,mult,func,converger,natom,charge,converged,niter,micro,fock_builds,time,E
t2_mnh2o6_2,2,uhf,6,b3lypv5,trah,19,2,False,-1,-1,-1,2400.41,nan
t2_f2_stretch,2,uhf,1,b3lypv5,cdiis,2,0,False,-1,-1,-1,2400.22,nan
t3_cr2,3,uhf,1,b3lypv5,adiis,2,0,False,-1,-1,-1,2400.54,nan
t3_cu2ac4,3,uhf,1,hf,cdiis,30,0,True,28,0,28,2307.24,-4184.5241440470
t3_cu2ac4,3,uhf,1,hf,ediis,30,0,False,-1,-1,-1,2400.52,nan
t3_cu2ac4,3,uhf,1,hf,adiis,30,0,False,-1,-1,-1,2400.54,nan
t3_cu2ac4,3,uhf,1,hf,soscf,30,0,False,-1,-1,-1,2400.77,nan
t3_cu2ac4,3,uhf,1,hf,trah,30,0,False,-1,-1,-1,2400.39,nan
t3_cu2ac4,3,uhf,1,b3lypv5,cdiis,30,0,False,-1,-1,-1,2400.74,nan
t3_cu2ac4,3,uhf,1,b3lypv5,ediis,30,0,False,-1,-1,-1,2401.23,nan
t3_cu2ac4,3,uhf,1,b3lypv5,adiis,30,0,False,-1,-1,-1,2401.07,nan
t3_cu2ac4,3,uhf,1,b3lypv5,soscf,30,0,False,-1,-1,-1,2401.18,nan
t3_cu2ac4,3,uhf,1,b3lypv5,trah,30,0,False,-1,-1,-1,2400.85,nan
t3_fe2s2,3,uhf,1,hf,cdiis,12,-2,False,-1,-1,-1,2400.36,nan
t3_fe2s2,3,uhf,1,hf,adiis,12,-2,False,-1,-1,-1,2400.52,nan
t3_fe2s2,3,uhf,1,hf,soscf,12,-2,False,-1,-1,-1,2400.54,nan
t3_fe2s2,3,uhf,1,hf,trah,12,-2,False,-1,-1,-1,2400.4,nan
t3_fe2s2,3,uhf,1,b3lypv5,cdiis,12,-2,False,-1,-1,-1,2400.76,nan
