# OpenQP radial SAP effective-charge table Z_eff(r)
# Source: Lehtola, JCTC 15, 1593 (2019), via pyscf.dft.sap_data
# Potential of atom Z at distance r:  V(r) = -Z_eff(r)/r
# Format: line 1 = 'zmax nr'; then nr r-values; then zmax rows of nr Z_eff values
36 1501
0.0000000000000000e+00 1.9095291060172699e-10 6.0955947806667901e-09 4.6100466017523503e-08 1.9316341043525100e-07 5.8518541705930603e-07
1.4431474063426200e-06 3.0863676484665900e-06 5.9443182316111196e-06 1.0564538040043300e-05 1.7616292318383701e-05 2.7889751976002900e-05
4.2290595918512802e-05 6.1830073277808906e-05 8.7610695745079695e-05 1.2080785959011100e-04 1.6264781877705801e-04 2.1438254146442500e-04
2.7726207900325399e-04 3.5250515660100801e-04 4.4126875583182403e-04 5.4461749939745303e-04 6.6349366679295996e-04 7.9868866522150698e-04
9.5081675326280700e-04 1.1202917660743899e-03 1.3073075215357800e-03 1.5118224985400401e-03 1.7335492739170399e-03 1.9719490860151999e-03
2.2262317639251301e-03 2.4953611251482101e-03 2.7780658048383801e-03 3.0728553403232299e-03 3.3780411991832702e-03 3.6917623113763500e-03
4.0120145491752196e-03 4.3366834961818899e-03 4.6635797611533896e-03 4.9904760261248998e-03 5.3151449731315597e-03 5.6353972109304401e-03
5.9491183231235199e-03 6.2543041819835502e-03 6.5490937174684004e-03 6.8317983971585804e-03 7.1009277583816604e-03 7.3552104362915897e-03
7.5936102483897400e-03 7.8153370237667493e-03 8.0198520007710005e-03 8.2068677562323993e-03 8.3763427690439797e-03 8.5284708570852793e-03
8.6636658555138205e-03 8.7825420229093298e-03 8.8858907664749603e-03 8.9746543657057802e-03 9.0498974433035305e-03 9.1127769808423600e-03
9.1645117035297208e-03 9.2063516627166695e-03 9.2395488265616995e-03 9.2653294490289799e-03 9.2848689263882699e-03 9.2992697703307807e-03
9.3095432299883998e-03 9.3165949842667403e-03 9.3212152040751707e-03 9.3240731546583196e-03 9.3257163749004401e-03 9.3265743368897199e-03
9.3269663588963492e-03 9.3271134218407600e-03 9.3271534267120003e-03 9.3271593313538695e-03 9.3271601059184105e-03 9.3271781523447499e-03
9.3273004197028508e-03 9.3277498899081903e-03 9.3289480313741395e-03 9.3315702306849095e-03 9.3365924240223306e-03 9.3453272119767405e-03
